2 #SUP: 289
5 #SUP: 312
6 #SUP: 5
7 #SUP: 53
8 #SUP: 6
9 #SUP: 29
10 #SUP: 30
11 #SUP: 10
12 #SUP: 10
13 #SUP: 6
14 #SUP: 3
15 #SUP: 36
16 #SUP: 27
17 #SUP: 88
18 #SUP: 2
19 #SUP: 2
20 #SUP: 18
21 #SUP: 28
22 #SUP: 2
25 #SUP: 2
26 #SUP: 2
2 5  #SUP: 287
2 6  #SUP: 5
2 7  #SUP: 52
2 8  #SUP: 6
2 9  #SUP: 28
2 10  #SUP: 28
2 11  #SUP: 8
2 12  #SUP: 8
2 13  #SUP: 6
2 14  #SUP: 3
2 15  #SUP: 36
2 16  #SUP: 27
2 17  #SUP: 88
2 20  #SUP: 18
2 21  #SUP: 28
2 22  #SUP: 2
2 25  #SUP: 2
2 26  #SUP: 2
5 6  #SUP: 5
5 7  #SUP: 53
5 8  #SUP: 6
5 9  #SUP: 29
5 10  #SUP: 30
5 11  #SUP: 10
5 12  #SUP: 10
5 13  #SUP: 6
5 14  #SUP: 3
5 15  #SUP: 36
5 16  #SUP: 27
5 17  #SUP: 88
5 18  #SUP: 2
5 19  #SUP: 2
5 20  #SUP: 18
5 21  #SUP: 28
5 22  #SUP: 2
5 25  #SUP: 2
5 26  #SUP: 2
6 7  #SUP: 2
6 15  #SUP: 4
6 16  #SUP: 3
6 17  #SUP: 3
6 21  #SUP: 2
7 8  #SUP: 2
7 9  #SUP: 5
7 10  #SUP: 5
7 11  #SUP: 3
7 12  #SUP: 3
7 13  #SUP: 2
7 15  #SUP: 10
7 16  #SUP: 19
7 17  #SUP: 25
7 20  #SUP: 8
7 21  #SUP: 7
7 22  #SUP: 2
8 13  #SUP: 3
8 17  #SUP: 2
8 25  #SUP: 2
8 26  #SUP: 2
9 10  #SUP: 29
9 11  #SUP: 8
9 12  #SUP: 8
9 16  #SUP: 3
9 17  #SUP: 15
9 20  #SUP: 6
9 21  #SUP: 3
10 11  #SUP: 9
10 12  #SUP: 9
10 16  #SUP: 3
10 17  #SUP: 15
10 18  #SUP: 2
10 20  #SUP: 6
10 21  #SUP: 3
11 12  #SUP: 10
11 16  #SUP: 2
11 17  #SUP: 6
11 19  #SUP: 2
11 20  #SUP: 4
12 16  #SUP: 2
12 17  #SUP: 6
12 19  #SUP: 2
12 20  #SUP: 4
13 16  #SUP: 2
13 17  #SUP: 4
13 20  #SUP: 2
15 16  #SUP: 5
15 17  #SUP: 26
15 20  #SUP: 6
15 21  #SUP: 15
16 17  #SUP: 15
16 20  #SUP: 5
16 21  #SUP: 5
16 22  #SUP: 2
17 20  #SUP: 15
17 21  #SUP: 28
17 22  #SUP: 2
20 21  #SUP: 8
25 26  #SUP: 2
2 5 6  #SUP: 5
2 5 7  #SUP: 52
2 5 8  #SUP: 6
2 5 9  #SUP: 28
2 5 10  #SUP: 28
2 5 11  #SUP: 8
2 5 12  #SUP: 8
2 5 13  #SUP: 6
2 5 14  #SUP: 3
2 5 15  #SUP: 36
2 5 16  #SUP: 27
2 5 17  #SUP: 88
2 5 20  #SUP: 18
2 5 21  #SUP: 28
2 5 22  #SUP: 2
2 5 25  #SUP: 2
2 5 26  #SUP: 2
2 6 7  #SUP: 2
2 6 15  #SUP: 4
2 6 16  #SUP: 3
2 6 17  #SUP: 3
2 6 21  #SUP: 2
2 7 8  #SUP: 2
2 7 9  #SUP: 5
2 7 10  #SUP: 5
2 7 11  #SUP: 3
2 7 12  #SUP: 3
2 7 13  #SUP: 2
2 7 15  #SUP: 10
2 7 16  #SUP: 19
2 7 17  #SUP: 25
2 7 20  #SUP: 8
2 7 21  #SUP: 7
2 7 22  #SUP: 2
2 8 13  #SUP: 3
2 8 17  #SUP: 2
2 8 25  #SUP: 2
2 8 26  #SUP: 2
2 9 10  #SUP: 28
2 9 11  #SUP: 8
2 9 12  #SUP: 8
2 9 16  #SUP: 3
2 9 17  #SUP: 15
2 9 20  #SUP: 6
2 9 21  #SUP: 3
2 10 11  #SUP: 8
2 10 12  #SUP: 8
2 10 16  #SUP: 3
2 10 17  #SUP: 15
2 10 20  #SUP: 6
2 10 21  #SUP: 3
2 11 12  #SUP: 8
2 11 16  #SUP: 2
2 11 17  #SUP: 6
2 11 20  #SUP: 4
2 12 16  #SUP: 2
2 12 17  #SUP: 6
2 12 20  #SUP: 4
2 13 16  #SUP: 2
2 13 17  #SUP: 4
2 13 20  #SUP: 2
2 15 16  #SUP: 5
2 15 17  #SUP: 26
2 15 20  #SUP: 6
2 15 21  #SUP: 15
2 16 17  #SUP: 15
2 16 20  #SUP: 5
2 16 21  #SUP: 5
2 16 22  #SUP: 2
2 17 20  #SUP: 15
2 17 21  #SUP: 28
2 17 22  #SUP: 2
2 20 21  #SUP: 8
2 25 26  #SUP: 2
5 6 7  #SUP: 2
5 6 15  #SUP: 4
5 6 16  #SUP: 3
5 6 17  #SUP: 3
5 6 21  #SUP: 2
5 7 8  #SUP: 2
5 7 9  #SUP: 5
5 7 10  #SUP: 5
5 7 11  #SUP: 3
5 7 12  #SUP: 3
5 7 13  #SUP: 2
5 7 15  #SUP: 10
5 7 16  #SUP: 19
5 7 17  #SUP: 25
5 7 20  #SUP: 8
5 7 21  #SUP: 7
5 7 22  #SUP: 2
5 8 13  #SUP: 3
5 8 17  #SUP: 2
5 8 25  #SUP: 2
5 8 26  #SUP: 2
5 9 10  #SUP: 29
5 9 11  #SUP: 8
5 9 12  #SUP: 8
5 9 16  #SUP: 3
5 9 17  #SUP: 15
5 9 20  #SUP: 6
5 9 21  #SUP: 3
5 10 11  #SUP: 9
5 10 12  #SUP: 9
5 10 16  #SUP: 3
5 10 17  #SUP: 15
5 10 18  #SUP: 2
5 10 20  #SUP: 6
5 10 21  #SUP: 3
5 11 12  #SUP: 10
5 11 16  #SUP: 2
5 11 17  #SUP: 6
5 11 19  #SUP: 2
5 11 20  #SUP: 4
5 12 16  #SUP: 2
